	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
90	NM_006916_1	Homo sapiens ribulose-5-phosphate-3-epimerase (RPE), transcript variant 2, mRNA|RPE|frame-2			7.411522400320081	100.0	26.76	191.1078410194639					Related Proteins	Q96AT9	NM_006916_1, Q96AT9	1	1	0	0	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D10_0
101	NM_006990_9	Homo sapiens WAS protein family, member 2 (WASF2), mRNA|WASF2|frame-2			7.310989078489431	100.0	14.71	0.0					Single Protein		NM_006990_9	1	1	1	1	1	1	0	13	98.14814814814815	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D10_0
135	NM_001105545_1	Homo sapiens enoyl Coenzyme A hydratase domain containing 1 (ECHDC1), transcript variant 4, mRNA|ECHDC1|frame-2			14.83889663320936	100.0	8.21	202.5172643639095					Related Proteins	NM_018479_1, Q9NTX5	NM_001105545_1, NM_018479_1, Q9NTX5	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1D10_0
3	NM_003019_1	Homo sapiens surfactant protein D (SFTPD), mRNA|SFTPD|frame-3			8.474285183693507	100.0	15.38	1123.44552320919					Single Protein		NM_003019_1	1	1	1	1	1	1	2	2	97.87234042553192	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H04_0
33	NM_018986_2	Homo sapiens SH3 domain and tetratricopeptide repeats 1 (SH3TC1), mRNA|SH3TC1|frame-1			5.644040564566851	100.0	63.04	952.4864218512697					Single Protein		NM_018986_2	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H04_0
51	NM_012288_7	Homo sapiens translocation associated membrane protein 2 (TRAM2), mRNA|TRAM2|frame-3			4.465307903496389	100.0	25.0	1095.3593851289602					Single Protein		NM_012288_7	1	1	1	1	1	1	1	1	97.87234042553192	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H04_0
79	NM_001130727_1	Homo sapiens PARK2 co-regulated-like (PACRGL), transcript variant 2, mRNA|PACRGL|frame-1			5.155661557887891	25.0	18.18	3983.1250368325827					Related Proteins	NM_145048_1	NM_001130727_1, NM_145048_1	1	1	1	1	1	1	1	2	97.87234042553192	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H04_0
90	XM_002347971_13	PREDICTED: Homo sapiens similar to Fc fragment of IgG binding protein (LOC100290309), mRNA|LOC100290309|frame-3			14.279664500285286	100.0	11.28	329.4313940237474					Single Protein		XM_002347971_13	1	1	1	1	1	1	1	1	97.87234042553192	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H04_0
24	NM_001037442_2	Homo sapiens RUN and FYVE domain containing 3 (RUFY3), transcript variant 1, mRNA|RUFY3|frame-1			7.041854390966864	100.0	20.0	918.0492663359498					Single Protein		NM_001037442_2	1	1	1	1	1	1	1	3	98.21428571428571	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H12_0
15	NM_001460_1	Homo sapiens flavin containing monooxygenase 2 (non-functional) (FMO2), mRNA|FMO2|frame-2			8.853679536173615	74.36	25.64	665.7111404157677					Single Protein		NM_001460_1	1	1	1	1	1	1	1	1	99.09909909909909	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A03_0
18	NM_014911_11	Homo sapiens AP2 associated kinase 1 (AAK1), mRNA|AAK1|frame-2			4.769374937510391	47.5	50.0	1298.1367238107468					Single Protein		NM_014911_11	1	1	1	1	1	1	1	4	94.11764705882352	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A03_0
21	NM_015124_2	Homo sapiens GRAM domain containing 4 (GRAMD4), mRNA|GRAMD4|frame-2			4.622201057507601	100.0	34.88	1207.5690454053458					Single Protein		NM_015124_2	1	1	1	1	1	1	1	2	94.11764705882352	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A03_0
22	NM_005334_8	Homo sapiens host cell factor C1 (VP16-accessory protein) (HCFC1), mRNA|HCFC1|frame-2			4.617554967561031	100.0	24.44	1153.8993100539972					Single Protein		NM_005334_8	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A03_0
35	NM_015229_5	Homo sapiens KIAA0664 (KIAA0664), mRNA|KIAA0664|frame-2			7.125909688886582	71.64	11.94	775.0069992899981					Single Protein		NM_015229_5	1	1	1	1	1	1	1	2	94.11764705882352	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A03_0
94	NM_005692_2	Homo sapiens ATP-binding cassette, sub-family F (GCN20), member 2 (ABCF2), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|ABCF2|frame-3			7.301763916748101	70.15	13.43	1550.0139985799963					Related Proteins	O60814, P06899, P23527, P33778, P57053, P58876, P62807, Q16778, Q5QNW6, Q8N257, Q93079, Q96A08, Q99877, Q99879, Q99880	NM_005692_2, O60814, P06899, P23527, P33778, P57053, P58876, P62807, Q16778, Q5QNW6, Q8N257, Q93079, Q96A08, Q99877, Q99879, Q99880	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A03_0
